,APG,DBPM,Exp,FG2_pct,FG3_pct,GP,Height,MPG,OBPM,PPG,Player,Pos,RPG,Salary,Salary5,TPG,Team,USG,Year,pct_from_3
132,0.2,2.2,1,0.382,0.556,27,6-9,4.7,1.2,2.1,Scott Padgett,PF,1.4,730800,807546,0.4,UTA,22.4,2001,0.209
133,2.1,0.4,7,0.45299999999999996,0.413,78,6-7,31.7,2.4,12.0,Bryon Russell,SF,4.2,4570000,1100000,1.4,UTA,17.5,2001,0.32899999999999996
134,0.5,2.2,R,0.38,0.083,40,6-5,7.3,1.2,2.2,DeShawn Stevenson,SG,0.7,828120,2500000,0.7,UTA,21.3,2001,0.132
135,3.9,0.8,3,0.444,0.385,82,6-1,19.8,1.2,6.1,Jacque Vaughn,PG,1.8,1500000,932546,1.6,UTA,16.9,2001,0.198
136,0.5,3.8,7,0.494,0.16699999999999998,82,7-6,24.4,0.0,7.1,Shawn Bradley,C,7.4,8370000,4000000,1.1,DAL,13.9,2001,0.013000000000000001
137,1.3,1.1,1,0.44299999999999995,0.28600000000000003,37,6-4,22.2,3.1,6.2,Greg Buckner,SG,4.2,1100000,870046,0.7,DAL,14.1,2001,0.036000000000000004
138,3.6,3.8,6,0.389,0.39799999999999996,82,6-2,29.6,0.7,9.0,Howard Eisley,SG,2.4,4250000,1100000,1.2,DAL,15.6,2001,0.39899999999999997
139,4.4,0.5,5,0.48100000000000004,0.34600000000000003,82,6-7,42.0,2.5,21.5,Michael Finley,SF,5.2,8400000,14609375,2.3,DAL,24.9,2001,0.16899999999999998
140,1.3,1.2,8,0.513,0.33299999999999996,53,6-11,17.5,0.0,7.5,Christian Laettner,C,4.0,6625000,1100000,1.3,DAL,21.0,2001,0.009000000000000001
141,0.7,0.3,R,0.528,0.33299999999999996,40,6-8,10.8,3.1,3.3,Eduardo Najera,PF,2.4,316969,3809524,0.4,DAL,15.0,2001,0.027000000000000003
142,7.3,3.8,4,0.518,0.406,70,6-3,34.1,4.1,15.6,Steve Nash,PG,3.2,5500000,8750000,2.9,DAL,21.1,2001,0.27699999999999997
143,2.1,0.5,2,0.513,0.387,82,7-0,38.1,4.3,21.8,Dirk Nowitzki,PF,9.2,1693560,12584688,1.9,DAL,23.8,2001,0.313
144,3.4,0.7,3,0.445,0.376,77,6-3,23.2,1.0,9.3,Chauncey Billups,SG,2.1,2250000,5455200,1.4,MIN,19.5,2001,0.33
145,5.0,2.7,5,0.486,0.28800000000000003,81,6-11,39.5,3.0,22.0,Kevin Garnett,PF,11.4,19610000,16000000,2.8,MIN,27.0,2001,0.045
146,0.6,0.7,2,0.462,0.0,73,7-0,16.9,0.2,4.5,Rasho Nesterovic,C,3.9,1123560,6160000,0.8,MIN,14.8,2001,0.003
147,2.6,0.5,8,0.43700000000000006,0.391,75,6-4,28.3,0.5,10.5,Anthony Peeler,SG,2.6,2740000,1600000,1.4,MIN,18.6,2001,0.35
148,3.2,0.5,1,0.526,0.33799999999999997,82,6-7,34.8,1.6,14.0,Wally Szczerbiak,SF,5.5,2162280,9000000,1.7,MIN,18.2,2001,0.084
149,2.3,0.8,4,0.517,0.271,82,6-6,29.2,1.0,8.7,Shandon Anderson,SG,4.1,2200000,7300000,1.6,HOU,15.4,2001,0.28800000000000003
150,0.3,0.8,3,0.5770000000000001,0.40399999999999997,35,6-11,17.8,0.5,4.7,Kelvin Cato,C,4.0,5330000,7992000,0.7,HOU,11.9,2001,0.0
151,6.5,0.8,1,0.47200000000000003,0.396,80,6-3,39.9,5.8,19.9,Steve Francis,PG,6.9,3246960,12330000,3.3,HOU,24.2,2001,0.276
152,0.1,,R,0.37799999999999995,0.0,33,6-11,7.3,3.8,2.7,Dan Langhi,SF,1.2,316969,72843,0.2,HOU,22.9,2001,0.01
153,2.5,0.8,2,0.45399999999999996,0.35700000000000004,79,6-4,38.0,1.9,19.5,Cuttino Mobley,SG,5.0,3920000,5884500,2.1,HOU,24.3,2001,0.20800000000000002
154,3.5,2.2,3,0.491,0.281,82,6-1,20.2,1.0,6.6,Moochie Norris,PG,2.4,523500,3850000,1.3,HOU,16.8,2001,0.215
155,1.5,0.4,3,0.49200000000000005,0.0,69,6-9,28.6,1.0,13.0,Maurice Taylor,SF,5.5,2250000,9100000,1.8,HOU,23.2,2001,0.005
156,1.0,0.4,1,0.485,0.272,74,6-7,24.6,1.0,7.1,Kenny Thomas,PF,5.6,885120,6000000,1.6,HOU,16.1,2001,0.198
157,0.5,0.7,1,0.5710000000000001,0.364,57,6-7,12.2,0.2,3.4,Ryan Bowen,SF,2.0,510000,807046,0.4,DEN,12.0,2001,0.076
158,1.0,0.1,7,0.33299999999999996,0.387,9,6-7,17.0,,2.3,Calbert Cheaney,SG,2.2,2200000,1600000,0.6,DEN,10.5,2001,0.0
159,1.4,1.8,2,0.499,0.36700000000000005,78,6-11,31.5,0.2,12.9,Raef LaFrentz,C,7.8,2970840,9714538,1.2,DEN,18.6,2001,0.171
160,2.4,0.9,5,0.40700000000000003,0.385,80,6-4,29.1,1.4,12.2,Voshon Lenard,SG,2.9,3780000,3250000,1.3,DEN,19.7,2001,0.452
161,2.1,0.1,5,0.495,0.36700000000000005,70,6-9,36.5,1.0,20.8,Antonio McDyess,PF,12.1,10800000,5393300,2.3,DEN,26.5,2001,0.0
162,2.0,0.9,1,0.47700000000000004,0.3,82,6-8,27.5,0.0,8.1,James Posey,SF,5.3,1047600,5408700,1.2,DEN,14.9,2001,0.368
163,8.5,0.1,7,0.431,0.377,71,6-1,37.9,4.0,17.7,Nick Van Exel,PG,3.4,9200000,11933252,2.3,DEN,23.0,2001,0.322
164,3.1,0.9,4,0.48700000000000004,0.188,81,6-9,40.0,1.3,20.5,Shareef Abdur-Rahim,SF,9.1,10130000,14625000,2.9,VAN,24.6,2001,0.05
165,8.4,0.5,2,0.478,0.379,82,6-1,38.9,2.3,15.9,Mike Bibby,PG,3.7,3308160,10500000,3.0,VAN,21.3,2001,0.24600000000000002
166,0.8,0.6,4,0.47,0.0,44,6-9,28.8,0.8,10.9,Othella Harrington,C,6.6,2250000,3150000,2.4,VAN,20.1,2001,0.008
167,3.2,1.9,2,0.465,0.364,71,6-3,19.9,0.5,6.5,Damon Jones,PG,1.7,710000,2503000,1.1,VAN,16.6,2001,0.555
168,0.2,0.2,8,0.462,0.263,52,6-9,15.8,0.8,4.5,Tony Massenburg,PF,4.0,1360000,1100000,0.9,VAN,15.4,2001,0.0
169,0.4,1.9,R,0.457,0.0,80,6-9,16.4,0.8,4.9,Stromile Swift,PF,3.6,3164280,5993105,0.8,VAN,16.2,2001,0.012
170,5.0,0.5,4,0.489,0.305,68,6-6,40.9,5.3,28.5,Kobe Bryant,SG,5.9,10130000,14175000,3.2,LAL,31.8,2001,0.132
171,4.4,0.8,4,0.419,0.397,20,6-1,35.5,1.3,11.5,Derek Fisher,PG,3.0,3380000,4903000,1.5,LAL,15.4,2001,0.337
172,0.3,0.8,1,0.353,0.221,59,6-8,10.1,6.5,3.1,Devean George,SF,1.9,849720,4546000,0.6,LAL,20.0,2001,0.32899999999999996
173,1.6,0.8,8,0.415,0.34600000000000003,79,6-9,20.1,0.8,5.2,Robert Horry,PF,3.7,4800000,1100000,1.0,LAL,14.0,2001,0.41100000000000003
174,1.2,0.8,2,0.47,0.324,38,6-0,12.3,6.5,3.4,Tyronn Lue,PG,0.8,865800,1600000,0.7,LAL,14.8,2001,0.29100000000000004
175,0.3,0.8,R,0.48200000000000004,1.0,70,6-9,9.2,6.5,2.0,Mark Madsen,PF,2.2,707040,745046,0.4,LAL,10.9,2001,0.009000000000000001
176,0.3,0.8,R,0.45799999999999996,1.0,7,6-10,5.6,6.5,4.6,Stanislav Medvedenko,PF,1.3,316969,3000000,0.4,LAL,38.2,2001,0.04
177,3.7,1.6,8,0.573,0.0,74,7-1,39.5,5.7,28.7,Shaquille O'Neal,C,12.7,19285715,27696430,2.9,LAL,31.6,2001,0.001
178,2.1,0.9,8,0.46299999999999997,0.348,62,6-4,16.3,0.0,5.1,Jon Barry,SG,1.5,2730000,1800000,0.9,SAC,14.9,2001,0.518
179,3.6,2.3,8,0.40299999999999997,0.376,81,6-6,36.3,1.4,12.3,Doug Christie,SG,4.4,3140000,7550000,1.9,SAC,16.2,2001,0.317
180,2.9,2.9,11,0.486,0.28600000000000003,81,7-1,29.9,0.0,12.0,Vlade Divac,C,8.3,9640000,4903000,2.4,SAC,20.1,2001,0.019
181,2.0,0.8,3,0.455,0.375,79,6-1,20.9,0.0,7.2,Bobby Jackson,PG,3.1,2250000,3150000,1.3,SAC,17.9,2001,0.198
182,0.5,0.9,6,0.306,0.519,31,5-11,5.7,1.3,3.3,Darrick Martin,PG,0.5,673500,1219590,0.3,SAC,25.4,2001,0.355
183,0.6,2.1,3,0.47100000000000003,0.0,77,6-11,21.5,0.0,6.5,Scot Pollard,C,6.0,3920000,5792250,0.9,SAC,14.3,2001,0.005
184,2.2,2.4,2,0.501,0.4,75,6-9,38.7,3.0,20.4,Peja Stojakovic,SF,5.8,1480000,6875000,1.9,SAC,22.4,2001,0.303
185,0.9,0.9,R,0.442,0.326,74,6-10,16.8,0.0,5.3,Hedo Turkoglu,SF,2.8,1131240,4903000,0.7,SAC,15.6,2001,0.257
186,4.2,2.4,7,0.488,0.071,70,6-9,40.5,2.6,27.1,Chris Webber,PF,11.1,12000000,17531250,2.8,SAC,31.6,2001,0.017
187,5.4,2.1,2,0.483,0.315,77,6-1,29.7,0.0,9.4,Jason Williams,PG,2.4,2011080,6875000,2.1,SAC,17.0,2001,0.451
188,2.0,1.3,4,0.436,0.321,82,6-1,27.9,0.6,12.3,Tony Delk,SG,3.2,2250000,2700000,1.2,PHO,22.0,2001,0.182
189,1.0,1.5,8,0.397,0.25,57,6-10,20.3,0.6,6.4,Tom Gugliotta,PF,4.5,9360000,2700000,0.9,PHO,17.9,2001,0.032
190,3.8,1.2,7,0.46399999999999997,0.25,4,6-7,28.0,0.6,9.8,Anfernee Hardaway,SG,4.5,10130000,14625000,0.8,PHO,17.5,2001,0.222
191,9.8,2.1,6,0.442,0.297,77,6-4,39.8,2.7,16.9,Jason Kidd,PG,6.4,7680000,14796000,3.7,PHO,22.7,2001,0.21100000000000002
192,2.0,3.2,1,0.49700000000000005,0.256,79,6-7,36.2,1.0,17.3,Shawn Marion,SF,10.7,1662240,12330000,1.6,PHO,22.1,2001,0.071
193,2.9,0.6,11,0.439,0.361,82,6-10,33.5,0.2,16.4,Clifford Robinson,PF,4.1,6890000,5287500,2.3,PHO,24.8,2001,0.21
194,2.2,1.3,7,0.467,0.29600000000000004,82,6-7,26.6,0.6,12.2,Rodney Rogers,SF,4.4,2200000,2700000,1.9,PHO,23.3,2001,0.21600000000000003
195,0.3,1.5,R,0.47,0.0,57,7-2,16.6,0.6,4.5,Jake Tsakalidis,C,4.2,763200,2900000,1.2,PHO,15.1,2001,0.0
196,1.5,0.9,9,0.485,0.0,66,6-8,17.9,1.0,4.7,Stacey Augmon,SG,2.4,923500,1100000,0.7,POR,13.9,2001,0.015
197,1.3,1.5,9,0.501,0.0,81,6-11,26.7,0.2,7.2,Dale Davis,C,7.5,6000000,10068750,0.8,POR,13.4,2001,0.008
198,2.6,1.5,9,0.504,0.33899999999999997,81,6-7,31.4,2.5,13.6,Steve Smith,SG,3.4,8100000,1100000,1.7,POR,19.7,2001,0.292
199,5.7,1.5,5,0.45299999999999996,0.374,82,5-10,32.4,1.8,13.0,Damon Stoudamire,PG,3.7,11250000,12500000,2.3,POR,21.3,2001,0.23399999999999999
200,2.8,1.6,5,0.53,0.321,77,6-10,38.2,2.5,19.2,Rasheed Wallace,PF,7.8,12600000,9720000,2.1,POR,23.4,2001,0.138
201,2.8,0.7,2,0.547,0.34,75,6-5,26.6,1.9,12.7,Bonzi Wells,SF,4.9,1528440,7700000,2.3,POR,23.3,2001,0.069
202,1.2,0.6,7,0.429,0.063,76,6-11,28.0,1.9,12.2,Vin Baker,PF,5.7,10130000,3500000,2.1,SEA,23.8,2001,0.019
203,3.4,0.0,5,0.517,0.47600000000000003,67,6-6,26.5,3.5,8.8,Brent Barry,SG,3.1,4320000,4264900,1.3,SEA,13.5,2001,0.5710000000000001
204,1.6,0.6,2,0.503,0.43200000000000005,78,6-10,34.9,2.6,14.8,Rashard Lewis,PF,6.9,3920000,7792208,1.7,SEA,18.4,2001,0.321
205,0.8,0.0,R,0.46,0.26899999999999996,78,6-7,19.5,1.6,5.9,Desmond Mason,SF,3.2,1074720,6529630,0.7,SEA,15.8,2001,0.153
206,0.8,0.4,2,0.523,0.0,70,6-10,16.3,9.9,4.5,Jelani McCoy,C,3.6,1110000,167418,1.1,SEA,15.0,2001,0.0
207,2.1,0.3,2,0.516,0.055999999999999994,76,6-5,27.1,1.9,13.0,Ruben Patterson,SF,5.0,990000,5899400,2.0,SEA,23.3,2001,0.048
208,8.1,0.6,10,0.47200000000000003,0.375,79,6-4,41.1,5.4,23.1,Gary Payton,PG,4.6,12200000,5408700,2.6,SEA,27.2,2001,0.171
209,2.8,0.4,2,0.426,0.45899999999999996,69,6-1,17.9,1.6,6.8,Shammond Williams,PG,1.9,550000,1750000,1.2,SEA,17.9,2001,0.361
210,3.2,,2,0.436,0.125,10,5-5,14.9,1.2,6.5,Earl Boykins,PG,1.1,498500,2500000,0.9,LAC,24.7,2001,0.127
211,2.3,0.5,R,0.426,0.35,76,6-3,16.3,1.2,5.9,Keyon Dooling,PG,1.2,1538880,745046,1.2,LAC,20.0,2001,0.221
212,0.0,,R,0.222,0.316,3,6-11,6.3,,3.0,Zendon Hamilton,C,2.7,316969,329138,0.7,LAC,35.3,2001,0.0
213,1.2,0.5,1,0.483,0.304,69,6-6,19.7,0.9,10.0,Corey Maggette,SF,4.2,1353960,7000000,1.5,LAC,24.5,2001,0.115
214,5.5,2.0,3,0.48200000000000004,0.361,81,6-4,35.0,2.1,12.9,Jeff McInnis,PG,2.7,523500,3600000,1.4,LAC,18.2,2001,0.154
215,1.2,2.0,R,0.519,0.053,81,6-9,26.3,0.9,9.4,Darius Miles,SF,5.9,2841720,6750000,1.8,LAC,19.1,2001,0.03
216,5.2,2.2,1,0.506,0.316,76,6-10,37.3,2.4,17.2,Lamar Odom,PF,7.8,2628960,10548596,3.5,LAC,24.1,2001,0.242
217,0.6,0.2,2,0.435,0.217,82,7-0,25.9,0.9,8.5,Michael Olowokandi,C,6.4,3697440,5408700,2.1,LAC,20.5,2001,0.0
218,1.2,2.0,6,0.456,0.40399999999999997,81,6-7,26.5,2.2,10.6,Eric Piatkowski,SG,3.0,2200000,2750000,0.9,LAC,17.8,2001,0.442
219,0.8,0.5,R,0.48700000000000004,0.331,76,6-6,17.9,1.6,8.1,Quentin Richardson,SG,3.4,1020960,5800000,0.8,LAC,22.4,2001,0.28800000000000003
220,0.5,,2,0.39799999999999996,0.125,39,6-9,15.0,1.2,4.1,Brian Skinner,PF,4.3,901800,4500000,0.8,LAC,17.3,2001,0.0
221,1.4,0.5,4,0.40399999999999997,0.0,43,6-11,24.1,0.3,7.4,Erick Dampier,C,5.8,5610000,7700000,1.9,GSW,18.4,2001,0.006
222,0.8,3.2,3,0.58,0.28,6,6-7,33.8,0.5,16.7,Danny Fortson,PF,16.3,3950000,5818136,1.7,GSW,17.4,2001,0.0
223,0.8,3.2,3,0.41600000000000004,0.25,58,6-10,25.1,0.3,5.9,Adonal Foyle,C,7.0,3580000,6500000,1.4,GSW,14.0,2001,0.0
224,4.5,0.0,2,0.40299999999999997,0.187,50,6-5,36.9,0.3,16.5,Larry Hughes,SG,5.5,1842480,5455200,3.0,GSW,24.4,2001,0.09300000000000001
225,1.2,0.5,R,0.478,0.217,48,6-10,29.4,0.3,13.2,Marc Jackson,C,7.5,316969,4225000,1.9,GSW,20.5,2001,0.045
226,2.0,0.0,2,0.45899999999999996,0.302,82,6-8,41.4,2.1,24.9,Antawn Jamison,SF,8.7,2678400,12584688,2.4,GSW,27.9,2001,0.113
227,4.6,3.2,5,0.44799999999999995,0.273,53,6-5,31.8,0.3,11.1,Bob Sura,SG,4.3,4390000,3200000,3.0,GSW,19.1,2001,0.332
228,1.1,1.6,R,0.42,0.5,77,7-0,18.3,5.0,4.5,Jason Collins,C,3.9,1067400,5500000,0.9,NJN,13.5,2002,0.006999999999999999
229,1.8,0.9,R,0.48,0.23199999999999998,79,6-7,24.3,0.7,9.4,Richard Jefferson,SF,3.7,1379400,10200000,1.4,NJN,19.1,2002,0.095
230,0.8,0.5,R,0.35100000000000003,0.3,28,6-9,10.4,5.0,2.1,Brian Scalabrine,PF,1.8,332817,2586207,0.9,NJN,15.1,2002,0.149
231,1.5,0.2,R,0.51,0.273,48,6-7,20.9,0.9,6.3,Joe Johnson,SG,2.9,1608840,12000000,0.6,BOS,15.2,2002,0.297
232,0.1,2.9,R,0.456,0.083,53,7-0,9.7,5.4,3.6,Steven Hunter,C,1.8,1244880,2800000,0.3,ORL,17.7,2002,0.0
233,1.0,2.5,1,0.46399999999999997,0.273,74,6-5,12.0,0.2,3.4,Raja Bell,SG,1.5,540850,4250000,0.6,PHI,15.9,2002,0.183
234,3.0,1.0,R,0.42200000000000004,0.121,67,5-11,22.8,0.9,7.2,Speedy Claxton,PG,2.4,1006200,3600000,1.4,PHI,18.2,2002,0.073
235,0.1,2.2,R,0.44,0.0,34,6-11,5.2,0.2,1.5,Samuel Dalembert,C,2.0,771480,9464307,0.4,PHI,18.6,2002,0.0
236,0.8,0.0,R,0.38799999999999996,0.0,57,6-11,14.3,,4.5,Kwame Brown,PF,3.5,3697440,7500000,0.8,WAS,18.6,2002,0.004
237,0.5,1.9,R,0.493,0.0,62,7-0,20.4,0.0,5.1,Brendan Haywood,C,5.2,978600,4000000,0.8,WAS,12.4,2002,0.0
238,0.6,,R,0.48100000000000004,0.28600000000000003,30,6-7,11.4,,3.7,Bobby Simmons,SF,1.7,332817,8000000,0.5,WAS,16.4,2002,0.147
239,0.1,,R,0.536,0.28600000000000003,47,6-9,13.1,,4.3,Etan Thomas,C,3.9,1493040,5393300,0.6,WAS,15.6,2002,0.0
240,0.4,0.9,R,0.44,0.0,12,6-10,13.4,,4.3,Malik Allen,PF,3.2,332817,1670000,0.2,MIA,17.0,2002,0.02
241,0.4,0.4,2,0.43200000000000005,0.125,21,6-10,15.2,,4.6,Sean Marks,C,3.6,565850,932015,0.9,MIA,18.2,2002,0.0
242,0.5,0.7,R,0.505,0.222,74,7-0,15.9,0.1,6.9,Zeljko Rebraca,C,3.9,3500000,3000000,1.1,DET,21.4,2002,0.0
243,1.2,0.6,R,0.44799999999999995,0.0,17,6-2,5.6,0.4,1.8,Carlos Arroyo,PG,0.7,332817,4000000,0.7,TOR,20.7,2002,0.0
244,0.1,0.6,R,0.565,0.0,26,6-10,4.5,0.4,1.2,Michael Bradley,PF,0.9,1123560,819550,0.2,TOR,13.4,2002,0.08
245,0.3,0.5,R,0.483,0.0,22,7-2,7.3,6.4,2.0,Primoz Brezec,C,1.3,749160,2750000,0.3,IND,13.0,2002,0.0
246,8.1,0.4,R,0.42200000000000004,0.24,80,6-3,30.5,0.9,9.4,Jamaal Tinsley,PG,3.7,749160,5400000,3.4,IND,20.7,2002,0.23
247,0.3,1.1,R,0.414,0.253,18,7-0,6.1,,1.4,DeSagana Diop,C,0.9,1842480,1850000,0.7,CLE,18.2,2002,0.0
248,0.8,1.5,R,0.49700000000000005,0.261,71,7-1,19.6,3.0,6.1,Tyson Chandler,C,4.8,3308160,9000000,1.4,CHI,16.6,2002,0.0
249,0.3,2.0,R,0.501,0.374,72,7-0,16.0,0.2,6.7,Eddy Curry,C,3.8,2678400,7390000,1.0,CHI,20.7,2002,0.0
250,2.2,0.1,R,0.447,0.364,78,6-5,28.7,2.0,8.7,Trenton Hassell,SG,3.3,332817,4350000,1.3,CHI,16.0,2002,0.263
251,4.3,0.1,R,0.46,0.32299999999999995,77,6-2,29.4,1.7,9.2,Tony Parker,PG,2.6,744480,8400000,2.0,SAS,17.7,2002,0.29600000000000004
252,0.4,1.2,1,0.462,0.414,55,7-0,10.9,1.0,5.6,Wang Zhizhi,C,2.0,465850,745046,0.5,DAL,22.4,2002,0.46799999999999997
253,0.4,1.0,R,0.563,0.0,10,6-5,4.5,0.2,2.1,Maurice Evans,SG,0.4,332817,1740000,0.2,MIN,22.9,2002,0.158
254,0.4,2.5,R,0.35100000000000003,0.0,60,7-1,8.6,0.2,1.8,Loren Woods,C,2.0,332817,780000,0.6,MIN,13.9,2002,0.021
255,0.8,3.4,R,0.462,0.0,70,6-11,20.6,1.7,6.4,Jarron Collins,C,4.2,332817,1700000,0.8,UTA,15.0,2002,0.003
256,1.1,3.0,R,0.488,0.25,82,6-9,26.2,0.8,10.7,Andrei Kirilenko,SF,4.9,831120,10983000,1.3,UTA,19.0,2002,0.158
257,0.7,,R,0.392,0.33,73,6-10,26.0,0.8,8.8,Eddie Griffin,PF,5.7,2011080,2700000,0.6,HOU,18.4,2002,0.41
258,0.3,2.2,R,0.35700000000000004,0.0,24,6-10,10.9,0.8,3.0,Chris Andersen,C,3.2,288171,3500000,0.5,DEN,17.0,2002,0.054000000000000006
259,2.8,0.9,R,0.451,0.373,78,6-8,39.7,0.9,14.4,Shane Battier,SF,5.4,2203080,4903000,2.0,MEM,18.2,2002,0.287
260,2.7,1.5,R,0.519,0.2,82,7-0,36.7,0.7,17.6,Pau Gasol,C,8.9,2970840,10993000,2.7,MEM,22.6,2002,0.005
261,0.5,1.7,R,0.446,0.0,54,6-7,8.0,2.2,3.2,Gerald Wallace,SF,1.6,797880,5000000,0.4,SAC,22.0,2002,0.04
262,0.3,0.0,R,0.449,0.36,41,6-9,5.8,2.3,2.8,Zach Randolph,PF,1.7,1019280,10666667,0.4,POR,25.7,2002,0.0
263,0.4,2.1,1,0.491,0.364,56,7-0,16.9,0.3,5.3,Jerome James,C,4.1,465850,5000000,1.3,SEA,18.3,2002,0.0
264,1.3,0.7,R,0.406,0.42,61,6-10,20.2,0.3,6.7,Vladimir Radmanovic,PF,3.8,1452000,3166155,1.2,SEA,17.3,2002,0.444
265,2.0,0.1,R,0.47600000000000003,0.364,64,6-1,15.1,0.3,3.6,Earl Watson,PG,1.3,332817,5000000,0.8,SEA,13.4,2002,0.20800000000000002
